Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
CTD-2510F5.4,ENSG00000265415.1,2.11,0.25,1.315,2.1799999999999997e-89
CTD-3141N22.1,ENSG00000241069.1,4.01,0.3,1.946,1.74e-15
CTD-3193O13.11,ENSG00000268120.1,9.86,2.14,1.79,2.87e-72
CTHRC1,ENSG00000164932.12,97.727,19.601,2.261,4.2300000000000005e-121
CTSD,ENSG00000117984.12,680.098,288.414,1.235,9.07e-75
CTXN1,ENSG00000178531.5,21.04,2.91,2.495,4.52e-189
CXCL10,ENSG00000169245.5,25.419,1.53,3.384,1.24e-148
CXCL11,ENSG00000169248.12,5.15,0.27,2.276,1.59e-99
CXCL13,ENSG00000156234.7,6.93,0.35,2.554,5.0099999999999996e-42
CXCL9,ENSG00000138755.5,16.63,1.58,2.773,1.45e-87
CXCR3,ENSG00000186810.7,2.14,0.25,1.329,6.829999999999999e-69
CXCR4,ENSG00000121966.6,59.128,26.39,1.134,5.42e-61
CXXC5,ENSG00000171604.11,61.982,26.489,1.196,7e-45
CYB561,ENSG00000008283.15,80.32,31.241,1.335,1.2399999999999999e-140
CYB561D2,ENSG00000114395.10,32.11,14.54,1.091,4.57e-95
CYBB,ENSG00000165168.7,13.12,5.82,1.05,5.14e-27
CYP2B7P,ENSG00000256612.7,12.13,0.78,2.883,8.649999999999999e-42
CYP51A1,ENSG00000001630.15,35.439,14.6,1.224,8.33e-87
DAP3,ENSG00000132676.15,158.682,69.209,1.185,2.9e-212
DARS2,ENSG00000117593.9,17.74,6.25,1.37,6.23e-132
DBF4,ENSG00000006634.7,9.59,3.92,1.106,2.16e-102
DBNDD1,ENSG00000003249.13,22.43,4.67,2.047,1.39e-177
DCAF13,ENSG00000164934.13,42.279,16.49,1.307,3.54e-139
DCLRE1A,ENSG00000198924.7,5.74,2.15,1.097,5.0099999999999994e-95
DCTPP1,ENSG00000179958.8,72.348,25.66,1.46,4.1e-188
DDAH1,ENSG00000153904.18,22.92,9.48,1.191,6.13e-67
DDIAS,ENSG00000165490.12,2.89,0.64,1.246,1.15e-104
DEGS2,ENSG00000168350.7,58.432,7.74,2.766,4.26e-70
DENND1C,ENSG00000205744.9,12.5,5.05,1.158,4.52e-110
DEPDC1,ENSG00000024526.16,2.8,0.15,1.724,5.98e-141
DEPDC1B,ENSG00000035499.12,2.87,0.23,1.654,1.01e-155
DERL3,ENSG00000099958.14,15.54,5.56,1.334,3.35e-48
DHCR24,ENSG00000116133.11,214.955,68.01,1.646,3.46e-71
DHCR7,ENSG00000172893.15,38.419,15.41,1.264,8.18e-70
DHFRP1,ENSG00000188985.6,7.56,3.07,1.073,3.1600000000000003e-27
DHRS2,ENSG00000100867.14,5.95,2.22,1.11,2.28e-08
DHTKD1,ENSG00000181192.11,17.349,7.86,1.05,4.59e-90
DIAPH3,ENSG00000139734.17,2.31,0.22,1.44,8.590000000000001e-129
DIO2,ENSG00000211448.11,4.9,1.34,1.334,1.34e-32
DLG3,ENSG00000082458.11,29.65,10.38,1.429,8.23e-148
DLGAP5,ENSG00000126787.12,6.21,0.23,2.551,1.5599999999999997e-216
DNAAF3,ENSG00000167646.13,4.49,0.97,1.479,1.0699999999999999e-67
DNAH14,ENSG00000185842.14,10.16,3.65,1.263,8.83e-148
DNAJA1,ENSG00000086061.15,127.15,61.631,1.033,3.14e-104
DNAJC1,ENSG00000136770.10,41.24,18.41,1.122,2.43e-83
DNAJC12,ENSG00000108176.14,29.699,7.65,1.827,4.22e-39
DNAJC19P9,ENSG00000258608.1,3.11,0.77,1.215,4.7599999999999994e-67
DNAJC22,ENSG00000178401.14,4.79,0.83,1.662,4.14e-67
DNALI1,ENSG00000163879.10,32.54,11.95,1.373,4.9e-10
DNASE2,ENSG00000105612.8,63.14,27.729,1.159,6.009999999999999e-187
DOK7,ENSG00000175920.15,2.4,0.47,1.21,2.5499999999999997e-42
DOPEY2,ENSG00000142197.12,13.82,3.73,1.648,3.5799999999999997e-115
DPCD,ENSG00000166171.12,33.07,14.94,1.096,3.32e-123
DPP3,ENSG00000254986.7,41.351,14.68,1.433,2.3300000000000004e-185
DRAIC,ENSG00000245750.7,3.31,1.12,1.024,1.16e-25
DSN1,ENSG00000149636.15,15.6,7.01,1.051,5.63e-121
DSP,ENSG00000096696.13,95.457,26.051,1.834,5.3e-75
DTL,ENSG00000143476.17,9.5,0.66,2.661,2.62e-215
DTX3L,ENSG00000163840.9,23.3,9.44,1.219,1.54e-92
DYNLT1,ENSG00000146425.10,186.224,90.54,1.032,3.05e-145
E2F1,ENSG00000101412.12,9.09,1.44,2.048,1.12e-171
E2F2,ENSG00000007968.6,1.79,0.19,1.229,1.92e-118
E2F5,ENSG00000133740.10,10.46,4.18,1.146,1.25e-89
E2F8,ENSG00000129173.12,1.85,0.12,1.347,2.37e-116
EBP,ENSG00000147155.10,60.291,27.58,1.101,7.13e-137
ECE2,ENSG00000145194.17,7.6,2.28,1.391,3.25e-158
ECT2,ENSG00000114346.13,19.32,4.66,1.844,1.3300000000000001e-167
EDN2,ENSG00000127129.9,4.07,1.13,1.251,1.28e-36
EEF1A1P12,ENSG00000214199.3,3.51,0.39,1.698,4.27e-53
EEF1A1P9,ENSG00000249264.1,2.2,0.36,1.234,3.59e-45
EEF1A2,ENSG00000101210.10,31.28,2.84,3.071,6.15e-57
EFCAB11,ENSG00000140025.15,13.92,5.73,1.149,1.38e-88
EFHD1,ENSG00000115468.11,229.602,110.101,1.054,3.61e-16
EFNA3,ENSG00000143590.13,14.03,4.24,1.52,7.09e-97
EFNA4,ENSG00000243364.7,25.539,9.72,1.308,5.81e-100
EGLN3,ENSG00000129521.13,18.989,8.47,1.078,7.79e-34
EIF1AXP1,ENSG00000236698.1,12.36,3.74,1.495,5.97e-45
EIF2AK1,ENSG00000086232.12,91.81,34.731,1.377,3.2299999999999997e-189
EIF5AP4,ENSG00000234743.1,10.16,0.48,2.915,2.4e-174
ELL3,ENSG00000128886.11,13.37,4.83,1.301,1.64e-84
ELOVL2,ENSG00000197977.3,4.35,1.12,1.335,1.97e-18
ELOVL6,ENSG00000170522.9,7.91,3.05,1.138,1.8600000000000002e-26
EME1,ENSG00000154920.14,2.9,0.91,1.03,5.970000000000001e-85
ENAH,ENSG00000154380.16,86.258,31.299,1.434,1.1499999999999999e-60
ENC1,ENSG00000171617.13,16.56,6.12,1.302,6.069999999999999e-82
ENPP5,ENSG00000112796.9,14.47,4.75,1.428,7.72e-48
ENSA,ENSG00000143420.17,252.737,118.89,1.082,2.85e-141
FKBP4,ENSG00000004478.7,142.27,40.72,1.78,7.88e-152
ZMYND10,ENSG00000004838.13,11.83,1.41,2.412,3.71e-84
ITGAL,ENSG00000005844.17,8.36,3.61,1.022,5.91e-39
TMEM132A,ENSG00000006118.14,41.36,8.15,2.211,1.43e-155
TNFRSF12A,ENSG00000006327.13,57.992,22.33,1.338,4.41e-64
GGCT,ENSG00000006625.17,121.591,47.91,1.326,4.33e-127
GTF2IRD1,ENSG00000006704.10,22.36,9.93,1.096,6.05e-139
MAPK8IP2,ENSG00000008735.13,7.25,1.71,1.606,5.37e-75
ETV7,ENSG00000010030.13,3.59,1.02,1.184,3.34e-73
NME2,ENSG00000011052.21,27.789,9.49,1.456,2.18e-88
SYT7,ENSG00000011347.9,22.79,9.89,1.127,3.1999999999999997e-52
PLAUR,ENSG00000011422.11,31.55,11.06,1.432,4.05e-88
GPRC5A,ENSG00000013588.5,86.707,8.67,3.181,4.48e-131
TACC3,ENSG00000013810.18,22.49,5.21,1.919,5.99e-192
SYT13,ENSG00000019505.7,2.8,0.07,1.828,5.6099999999999996e-55
NLRP2,ENSG00000022556.15,6.43,2.25,1.193,4.84e-11
HSD17B6,ENSG00000025423.11,4.52,0.56,1.823,4.6799999999999996e-176
RNASET2,ENSG00000026297.15,98.291,43.2,1.168,3.3e-120
SLC39A9,ENSG00000029364.11,43.919,17.45,1.284,1.91e-90
IBSP,ENSG00000029559.6,1.05,0.0,1.036,2.88e-72
HMGB3,ENSG00000029993.14,57.019,9.47,2.47,1.11e-186
FUT8,ENSG00000033170.16,36.201,12.96,1.414,2.03e-59
RPL26L1,ENSG00000037241.7,56.379,24.309,1.181,1.96e-206
VCAN,ENSG00000038427.15,74.899,25.81,1.501,1.5e-43
MSR1,ENSG00000038945.14,17.2,6.09,1.36,1.48e-56
RAB27B,ENSG00000041353.9,10.24,2.81,1.561,1.83e-51
EPN3,ENSG00000049283.17,21.55,4.25,2.103,2.4700000000000002e-145
FOXP3,ENSG00000049768.14,2.55,0.43,1.312,1.9600000000000002e-116
SLC4A8,ENSG00000050438.16,3.88,1.29,1.092,6.33e-32
RAD51,ENSG00000051180.16,7.78,0.87,2.231,1.06e-207
THOC3,ENSG00000051596.9,45.79,17.12,1.369,9.62e-151
PRSS8,ENSG00000052344.15,148.992,30.849,2.236,4.12e-155
OPN3,ENSG00000054277.12,15.34,5.56,1.317,9.29e-75
F7,ENSG00000057593.13,1.87,0.33,1.11,5.0299999999999993e-42
NDC1,ENSG00000058804.11,11.95,4.8,1.159,1.82e-91
MRPS35,ENSG00000061794.12,56.001,25.729,1.093,5.8499999999999996e-120
SPA17,ENSG00000064199.6,12.82,4.62,1.298,9.59e-76
MCM10,ENSG00000065328.16,2.95,0.59,1.313,1.26e-76
ERBB3,ENSG00000065361.14,115.567,37.439,1.601,1.19e-121
TMEM206,ENSG00000065600.12,8.92,3.21,1.237,3.53e-163
GSTO2,ENSG00000065621.14,23.309,10.87,1.034,1.72e-44
PKM,ENSG00000067225.17,601.032,270.052,1.151,1.6e-141
ROGDI,ENSG00000067836.12,44.08,16.65,1.353,5.02e-112
FGFR3,ENSG00000068078.17,5.28,1.62,1.261,3.15e-26
PRR11,ENSG00000068489.12,5.96,0.75,1.992,2.3900000000000002e-129
PITX1,ENSG00000069011.15,14.73,0.4,3.49,3.2500000000000005e-173
NUCB2,ENSG00000070081.15,146.027,58.549,1.304,1.53e-81
PFN2,ENSG00000070087.13,70.282,32.999,1.068,3.83e-37
ST6GALNAC2,ENSG00000070731.9,30.26,14.57,1.006,5.74e-22
TRIP13,ENSG00000071539.13,8.72,1.31,2.073,1.82e-168
SMC1A,ENSG00000072501.17,30.96,14.48,1.046,1.56e-36
HMMR,ENSG00000072571.19,6.63,0.31,2.542,1.98e-220
SIDT1,ENSG00000072858.10,10.86,4.72,1.052,3.8700000000000004e-21
