,,,,,
ADAMTS10,ENSG00000142303.13,1.375,4.022,-1.080,3.13e-13
ADAMTS15,ENSG00000166106.3,0.430,4.845,-2.031,2.97e-14
ADAMTS4,ENSG00000158859.9,2.295,9.555,-1.680,7.74e-12
ADAMTS5,ENSG00000154736.5,0.380,2.208,-1.217,3.48e-25
ADAMTS8,ENSG00000134917.9,0.270,3.932,-1.957,5.38e-29
ADAMTS9,ENSG00000163638.13,2.440,8.419,-1.453,1.80e-11
ADAMTS9-AS1,ENSG00000241158.5,0.120,9.147,-3.180,5.98e-59
ADAMTS9-AS2,ENSG00000241684.5,0.050,2.407,-1.698,3.13e-82
ADAMTSL3,ENSG00000156218.12,0.115,4.937,-2.413,2.30e-59
ADAMTSL4,ENSG00000143382.13,7.175,39.682,-2.315,4.17e-7
ADARB1,ENSG00000197381.15,4.515,17.014,-1.708,2.25e-17
ADCK3,ENSG00000163050.16,19.014,43.358,-1.148,2.92e-11
ADCY2,ENSG00000078295.15,0.195,3.915,-2.040,4.08e-27
ADCY4,ENSG00000129467.13,2.420,8.150,-1.420,2.34e-23
ADCY5,ENSG00000173175.14,0.585,20.451,-3.758,3.26e-42
ADCY9,ENSG00000162104.9,2.350,9.284,-1.618,8.57e-17
ADGRA2,ENSG00000020181.17,4.100,40.840,-3.036,3.99e-21
ADGRB3,ENSG00000135298.13,0.050,1.540,-1.274,4.58e-39
ADGRD1,ENSG00000111452.12,0.450,25.042,-4.167,8.32e-48
ADGRF5,ENSG00000069122.18,2.755,6.745,-1.044,2.76e-7
ADGRL2,ENSG00000117114.19,5.415,13.122,-1.138,7.49e-4
ADGRL4,ENSG00000162618.12,4.630,11.808,-1.186,5.89e-9
ADH1B,ENSG00000196616.12,0.275,107.653,-6.413,1.10e-58
ADH1C,ENSG00000248144.5,0.585,4.395,-1.767,7.75e-5
ADHFE1,ENSG00000147576.15,1.460,9.338,-2.071,3.02e-21
ADRA1D,ENSG00000171873.7,0.050,1.185,-1.057,1.37e-51
ADRA2A,ENSG00000150594.6,0.585,5.185,-1.964,3.87e-20
ADRB3,ENSG00000188778.4,0.040,3.280,-2.041,5.18e-52
AEBP1,ENSG00000106624.8,55.199,151.339,-1.439,6.81e-4
AF127577.10,ENSG00000229047.1,24.280,10.665,1.116,5.33e-9
AF131217.1,ENSG00000232855.6,0.050,3.368,-2.057,1.46e-57
AF186192.5,ENSG00000255085.8,0.050,1.319,-1.143,4.52e-46
AFAP1,ENSG00000196526.10,4.455,10.452,-1.070,3.50e-7
AFF1,ENSG00000172493.20,7.315,15.882,-1.022,7.21e-8
AFF3,ENSG00000144218.18,0.120,6.677,-2.777,7.22e-52
AFF4,ENSG00000072364.12,8.655,19.771,-1.105,4.90e-10
AGPAT9,ENSG00000138678.10,0.770,3.410,-1.317,1.36e-11
AGR3,ENSG00000173467.8,0.285,3.246,-1.724,6.90e-5
AGRN,ENSG00000188157.13,95.276,33.260,1.491,1.61e-18
AGTR1,ENSG00000144891.17,0.205,8.317,-2.951,1.09e-42
AHDC1,ENSG00000126705.13,5.300,11.718,-1.013,2.06e-9
AHNAK,ENSG00000124942.13,51.935,139.514,-1.408,2.42e-10
AHNAK2,ENSG00000185567.6,5.995,23.805,-1.826,3.89e-4
AIF1L,ENSG00000126878.12,2.660,6.538,-1.042,1.15e-3
AIM1L,ENSG00000176092.13,17.930,5.529,1.536,5.62e-7
AIM2,ENSG00000163568.13,5.310,1.845,1.149,2.97e-3
AK4,ENSG00000162433.14,4.360,12.948,-1.380,3.73e-4
AKAP11,ENSG00000023516.8,4.260,10.480,-1.126,1.70e-9
AKAP12,ENSG00000131016.16,3.305,29.774,-2.838,3.07e-19
AKAP2,ENSG00000241978.9,5.235,24.908,-2.055,6.43e-12
AKAP6,ENSG00000151320.10,0.260,2.592,-1.511,6.83e-35
